Transaction_id,Transaction_date,Transaction_time,Transaction_qty,Store_id,Store_location,Product_id,Unit_price,Product_category,Product_name,Product_detail,Total Sales (Revenue),Year,Month Number,Month Name,Day of Week
1,01-01-2023,07:06:11,2,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,6,2023,1,Jan,Sunday
2,01-01-2023,07:08:56,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,6.2,2023,1,Jan,Sunday
3,01-01-2023,07:14:04,2,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,9,2023,1,Jan,Sunday
4,01-01-2023,07:20:24,1,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2,2023,1,Jan,Sunday
5,01-01-2023,07:22:41,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,6.2,2023,1,Jan,Sunday
6,01-01-2023,07:22:41,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone,3,2023,1,Jan,Sunday
7,01-01-2023,07:25:49,1,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2,2023,1,Jan,Sunday
8,01-01-2023,07:33:34,2,5,Lower Manhattan,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,4,2023,1,Jan,Sunday
9,01-01-2023,07:39:13,1,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg,4.25,2023,1,Jan,Sunday
10,01-01-2023,07:39:34,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,7,2023,1,Jan,Sunday
11,01-01-2023,07:43:05,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,2023,1,Jan,Sunday
12,01-01-2023,07:44:35,2,5,Lower Manhattan,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7,2023,1,Jan,Sunday
13,01-01-2023,07:45:51,1,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg,3,2023,1,Jan,Sunday
14,01-01-2023,07:48:19,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3.1,2023,1,Jan,Sunday
15,01-01-2023,07:52:36,2,5,Lower Manhattan,87,3,Coffee,Barista Espresso,Ouro Brasileiro shot,6,2023,1,Jan,Sunday
16,01-01-2023,07:59:58,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,6,2023,1,Jan,Sunday
17,01-01-2023,07:59:58,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,2023,1,Jan,Sunday
18,01-01-2023,08:00:18,1,8,Hell's Kitchen,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg,2.5,2023,1,Jan,Sunday
19,01-01-2023,08:00:39,2,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,9,2023,1,Jan,Sunday
20,01-01-2023,08:11:45,1,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,4.75,2023,1,Jan,Sunday
21,01-01-2023,08:17:27,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7,2023,1,Jan,Sunday
22,01-01-2023,08:24:26,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,2023,1,Jan,Sunday
23,01-01-2023,08:24:26,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,3.25,2023,1,Jan,Sunday
24,01-01-2023,08:29:38,1,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,2023,1,Jan,Sunday
25,01-01-2023,08:31:23,1,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,3.75,2023,1,Jan,Sunday
26,01-01-2023,08:33:08,1,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,3,2023,1,Jan,Sunday
27,01-01-2023,08:33:08,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,3.5,2023,1,Jan,Sunday
